BehaviorSpace results (NetLogo 5.0.5),,,,,,,,,,,
BusinessInvestors_Sect11-4.nlogo,,,,,,,,,,,
experiment,,,,,,,,,,,
12/21/2014 20:52:55:726 +0000,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,
-9,9,-9,9,,,,,,,,
[run number],1,2,3,4,5,6,7,8,9,10,11
wealth-increase-threshold,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
[reporter],mean [ wealth ] of turtles,mean [ wealth ] of turtles,mean [ wealth ] of turtles,mean [ wealth ] of turtles,mean [ wealth ] of turtles,mean [ wealth ] of turtles,mean [ wealth ] of turtles,mean [ wealth ] of turtles,mean [ wealth ] of turtles,mean [ wealth ] of turtles,mean [ wealth ] of turtles
[final],78397.4152132274,75502.7917202702,68781.1390958421,70856.1162087908,74202.6113062238,78647.3554975529,68405.715954904,69724.7519902311,66186.0126596708,74768.8392672016,77350.0882066
[min],1,1,1,1,1,1,1,1,1,1,1
[max],78397.4152132274,75502.7917202702,73414.9799347773,71072.9965263334,74202.6113062238,78647.3554975529,68405.715954904,69724.7519902311,66186.0126596708,74768.8392672016,77350.0882066
[mean],43998.4951962253,45088.4888839169,45613.3684299863,42813.0879927792,44695.6768440417,43756.7896308055,42660.350919045,44439.9010470947,40996.869260321,42953.2273673669,46807.7456606056
[steps],25,25,25,25,25,25,25,25,25,25,25
,,,,,,,,,,,
[all run data],mean [ wealth ] of turtles,mean [ wealth ] of turtles,mean [ wealth ] of turtles,mean [ wealth ] of turtles,mean [ wealth ] of turtles,mean [ wealth ] of turtles,mean [ wealth ] of turtles,mean [ wealth ] of turtles,mean [ wealth ] of turtles,mean [ wealth ] of turtles,mean [ wealth ] of turtles
,1,1,1,1,1,1,1,1,1,1,1
,4704.152131494,4957.7031304915,5230.3538993727,4569.8151139618,4929.8735450987,4365.9227328887,5586.9155209036,4645.1540988653,4891.8820136396,5164.2886715874,5529.4371923661
,9512.975659666,9779.7432300845,10093.8222855977,9149.3107389375,9617.1758220464,8542.7280251685,10516.2033427401,9866.1233636859,9696.7111556455,9355.6291591995,10783.6948323162
,13725.9875707991,15053.8243383454,14222.6449343655,13234.0030920455,14886.5691357865,13594.9506398895,15221.7374773021,14974.6464244971,14093.4390043231,14141.1088392166,15794.4828680612
,17363.1825591106,19604.901672778,18730.0536221261,17797.2713361002,19310.7135937015,17965.1908868947,20407.429597012,20077.4931376614,18387.4544002739,18294.8019359311,20468.2422429759
,21572.2016582023,23992.9213047862,23874.0774352025,22080.8100170498,22358.4840481722,22577.5724121583,24367.5812633331,23892.2638485176,21513.0424294462,21987.106882659,24587.9503165367
,25061.2226323262,26724.0169126643,28148.0010201491,25856.4085235373,25667.0538677432,27432.2076852485,26853.9776221512,28102.0475481293,26218.4999129394,26043.6697640088,28380.2875686949
,29099.486763647,31800.5832703662,33102.859624442,30020.9481100013,30341.7379358563,31389.8896701333,31475.3887848831,32799.507051437,30132.6039864786,30373.595381208,32130.9856994284
,33327.5261267818,35622.872443898,35016.0356347182,34493.329849765,34769.6982568305,33566.7398890367,34929.524506075,35474.7563748343,32588.8241742731,34364.6847924026,36300.0247228091
,36602.9044509629,39898.6730497698,39557.9612746526,37049.6212417049,37860.3483263267,36327.1036201496,37791.035955298,38367.6928242502,34255.9005019446,37643.298014494,40703.5601130228
,40039.0133267327,42952.2845488838,41330.6810403471,40943.8731633147,40313.0776154907,39683.4130339363,41156.3500650583,42677.5099612405,38283.9532319336,41758.7045377522,43972.6335861604
,42670.4874447116,44998.3974322678,45285.3224709399,42892.517040793,45160.3286236815,43051.1690193439,43804.9910720384,44563.154488892,42263.6939466089,43373.6919938078,46853.2558243591
,46259.5755900813,48960.1994027384,48186.0012995701,46639.4663745804,47665.1528859991,44395.7285446626,44864.3365791404,46961.844426538,43818.7842232898,45194.5242143194,48962.557747582
,48453.6294647695,52622.5902766792,53562.6266128597,46135.2289128256,51376.847319191,46524.3361811156,45911.4045743931,50140.3393351214,46626.6215896892,47339.0116079583,53650.6404212093
,47980.1520204101,57339.9828054274,57741.6881740848,49984.222490025,52650.0465060021,51427.3893739311,48027.0782849189,53217.2077575369,50497.3935192271,50032.9327715673,54407.4628903494
,52004.1313406756,58316.8591668022,59571.8466702663,53375.2885199263,55220.0775076598,52826.3073977171,51946.6926697457,55089.852028455,50352.5335896572,51883.6213049641,56033.0488200819
,56927.4079275509,59943.2758816831,58440.2395296445,52624.3073120196,60104.8600873417,54038.7178592395,56269.2198228649,58139.8159010878,52609.9586204284,54345.2074200341,59274.5532437622
,60103.1469862821,59633.2833419864,62791.6410664049,54980.1914562555,61125.1890879825,56408.5401379657,56247.8215480554,61813.9950563609,52685.4687682631,58501.3471154822,61076.2023073942
,61936.6455026101,62106.4928055266,63426.8787937026,58869.9095775606,62661.1700807934,58236.4657764794,59714.7098209188,64023.590366321,54811.8856189596,59439.4347791843,66386.2605975777
,62214.7842433276,59577.8864525156,66977.7756029498,61975.6432786601,64441.2729884295,62441.0057801802,61189.1092951499,65251.9967176555,58155.1892602448,59335.4822319705,66978.4766540539
,63823.2744903499,63737.3912266404,67829.7094858297,65583.5189861781,69587.4422600757,64217.1906400952,61061.9957768215,65367.7782704032,61521.594332708,61822.2640896787,71233.7776599338
,69212.0136099062,67507.6689766908,69691.1269211135,65478.0174909052,66919.6594968754,69042.7332546825,66335.4004264953,66584.6161200527,64282.6949279429,63140.9534257898,72630.8823701175
,70914.3733243209,69512.7275419503,70530.554513556,67755.4237671833,68728.2180460012,72636.5635322738,67950.6358360795,66650.5738208251,64240.6598284179,67293.2184851728,73167.660288459
,74930.6617323984,71164.5336164503,70408.5582371302,69721.0486838047,70838.965416589,73929.7100289588,64423.1070936291,67378.3260842717,62954.4282385483,69351.2576912606,73682.3934500554
,77123.5233315128,70988.1064321427,73414.9799347773,71072.9965263334,71350.0241851861,74406.5987812416,64709.7610052584,69651.3902275907,64848.3708337918,71834.2371746891,76661.8275518389
,78397.4152132274,75502.7917202702,68781.1390958421,70856.1162087908,74202.6113062238,78647.3554975529,68405.715954904,69724.7519902311,66186.0126596708,74768.8392672016,77350.0882066
